basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-05,AQ029,7.13,66.30,13.27,9.88
2023-01-05,AQ030,8.71,61.11,5.10,4.11
2023-01-05,AQ031,20.51,48.17,7.33,4.25
2023-01-05,AQ032,8.76,35.57,25.27,20.94
2023-01-05,AQ033,9.68,53.03,5.33,3.91
2023-01-05,AQ034,18.93,14.87,33.31,27.54
2023-01-05,AQ035,12.72,63.87,5.38,3.62
2023-01-05,AQ036,5.60,59.51,7.74,5.44
2023-01-05,AQ037,28.05,7.84,28.65,24.71
2023-01-05,AQ038,8.65,44.65,39.24,37.31
2023-01-05,AQ039,27.55,13.62,63.76,45.48
2023-01-05,AQ040,12.79,37.39,30.15,23.58
2023-01-05,AQ041,6.58,64.71,5.83,3.45
2023-01-05,AQ042,5.91,63.37,5.65,3.49
2023-01-05,AQ043,18.28,33.09,30.99,26.74
2023-01-05,AQ044,31.40,8.60,61.72,56.61
2023-01-05,AQ045,24.16,21.23,21.65,17.66
2023-01-05,AQ046,18.65,53.35,14.95,10.43
2023-01-05,AQ047,7.15,60.82,4.17,2.81
2023-01-05,AQ048,9.14,47.36,8.59,6.82
2023-01-05,AQ049,9.23,48.51,6.70,5.66
2023-01-05,AQ050,15.75,22.80,22.18,19.75
2023-01-06,AQ001,16.98,54.27,8.93,5.00
2023-01-06,AQ002,28.05,23.92,44.09,36.76
2023-01-06,AQ003,26.30,26.83,29.36,15.69
2023-01-06,AQ004,35.95,23.16,33.50,27.20
2023-01-06,AQ005,26.13,26.86,30.48,23.20
2023-01-06,AQ006,18.00,34.48,8.34,6.64
2023-01-06,AQ007,14.35,26.50,9.41,7.44
2023-01-06,AQ008,5.95,63.10,7.88,3.41
2023-01-06,AQ009,18.48,34.25,11.22,8.37
2023-01-06,AQ010,11.58,49.50,5.06,3.60
2023-01-06,AQ011,17.86,28.45,18.74,15.59
2023-01-06,AQ012,22.11,34.04,14.52,13.15
2023-01-06,AQ013,15.40,46.94,5.28,4.30
2023-01-06,AQ014,8.92,55.41,7.95,4.35
2023-01-06,AQ015,9.24,69.56,9.71,5.11
2023-01-06,AQ016,20.78,43.40,10.96,7.73
2023-01-06,AQ017,16.85,56.50,7.01,3.86
2023-01-06,AQ018,25.91,20.52,39.44,30.11
2023-01-06,AQ019,20.91,22.52,33.71,35.12
2023-01-06,AQ020,16.40,59.38,5.95,3.70
2023-01-06,AQ021,6.87,55.45,4.95,3.52
2023-01-06,AQ022,32.87,12.46,16.48,12.48
2023-01-06,AQ023,42.89,12.49,26.27,19.76
2023-01-06,AQ024,27.96,24.99,18.95,15.43
2023-01-06,AQ025,30.03,5.47,54.32,50.90
2023-01-06,AQ026,11.07,42.32,15.36,10.44
2023-01-06,AQ027,13.83,36.27,5.99,5.10
2023-01-06,AQ028,41.50,19.43,32.21,28.33
2023-01-06,AQ029,4.93,67.43,13.39,10.34
2023-01-06,AQ030,8.35,56.05,4.81,3.59
2023-01-06,AQ031,18.80,48.29,7.46,4.89
2023-01-06,AQ032,7.97,37.54,21.34,18.21
2023-01-06,AQ033,15.48,37.24,9.80,7.48
2023-01-06,AQ034,16.95,18.50,30.12,23.62
2023-01-06,AQ035,10.52,63.39,4.77,3.26
2023-01-06,AQ036,8.66,49.85,13.09,9.13
2023-01-06,AQ037,27.19,12.14,21.07,17.37
2023-01-06,AQ038,10.25,42.42,37.92,34.89
2023-01-06,AQ039,22.99,21.35,48.02,31.82
2023-01-06,AQ040,9.80,46.97,18.37,14.16
2023-01-06,AQ041,6.70,67.13,5.85,3.02
2023-01-06,AQ042,17.40,54.46,8.38,6.16
2023-01-06,AQ043,15.14,36.96,23.02,20.38
2023-01-06,AQ044,23.89,9.27,54.55,48.37
2023-01-06,AQ045,25.00,24.91,19.19,16.16
2023-01-06,AQ046,19.63,54.66,13.51,10.06
2023-01-06,AQ047,21.18,37.67,10.45,8.17
2023-01-06,AQ048,5.80,48.95,10.44,7.29
2023-01-06,AQ049,12.56,49.04,17.47,14.93
2023-01-06,AQ050,20.34,14.88,36.24,33.05
2023-01-07,AQ001,11.50,46.72,7.37,5.71
2023-01-07,AQ002,35.92,17.20,50.85,41.01
2023-01-07,AQ003,33.40,29.68,30.34,18.13
2023-01-07,AQ004,24.73,33.16,20.16,16.91
2023-01-07,AQ005,23.84,28.16,43.04,33.15
2023-01-07,AQ006,18.10,31.48,9.19,7.89
2023-01-07,AQ007,12.50,30.99,11.40,9.59
2023-01-07,AQ008,3.80,66.59,15.57,5.23
