basetime,city_id,NO2,O3,PM10,PM2.5
2015-01-04,AQ043,5.86,42.70,15.36,8.62
2015-01-04,AQ044,24.39,22.61,16.57,7.87
2015-01-04,AQ045,22.25,31.58,11.95,7.15
2015-01-04,AQ046,5.69,59.56,36.58,8.05
2015-01-04,AQ047,13.01,52.87,5.47,4.37
2015-01-04,AQ048,4.11,57.95,5.97,4.80
2015-01-04,AQ049,9.51,51.98,11.93,7.34
2015-01-04,AQ050,23.85,29.10,18.35,15.75
2015-01-05,AQ001,40.76,7.34,27.85,19.98
2015-01-05,AQ002,17.38,42.02,13.50,12.23
2015-01-05,AQ003,11.53,56.84,8.40,5.28
2015-01-05,AQ004,41.80,18.73,20.51,17.89
2015-01-05,AQ005,9.54,40.83,11.08,8.77
2015-01-05,AQ006,17.73,46.25,16.40,10.61
2015-01-05,AQ007,22.14,20.26,10.97,8.96
2015-01-05,AQ008,18.34,34.92,20.42,16.72
2015-01-05,AQ009,8.42,59.98,7.93,6.78
2015-01-05,AQ010,36.74,19.01,25.04,16.62
2015-01-05,AQ011,15.39,22.00,15.37,10.68
2015-01-05,AQ012,12.02,50.61,10.61,7.26
2015-01-05,AQ013,37.84,20.79,19.49,14.93
2015-01-05,AQ014,36.18,35.05,15.83,10.94
2015-01-05,AQ015,14.65,17.59,5.58,4.70
2015-01-05,AQ016,22.23,31.21,20.58,13.78
2015-01-05,AQ017,11.74,46.54,9.07,6.06
2015-01-05,AQ018,41.05,13.33,45.67,40.39
2015-01-05,AQ019,18.31,51.23,20.84,14.68
2015-01-05,AQ020,47.31,13.81,23.58,17.29
2015-01-05,AQ021,51.78,7.60,26.20,23.66
2015-01-05,AQ022,36.86,15.39,26.28,18.44
2015-01-05,AQ023,68.03,7.96,25.05,20.68
2015-01-05,AQ024,31.28,23.44,22.37,11.44
2015-01-05,AQ025,50.96,13.59,23.85,15.84
2015-01-05,AQ026,21.24,33.50,24.65,9.05
2015-01-05,AQ027,21.26,43.66,13.13,8.35
2015-01-05,AQ028,23.10,48.43,10.81,7.07
2015-01-05,AQ029,2.85,67.42,6.53,4.02
2015-01-05,AQ030,36.92,13.93,27.34,20.15
2015-01-05,AQ031,61.20,4.48,35.79,24.86
2015-01-05,AQ032,3.83,49.02,13.88,4.92
2015-01-05,AQ033,14.48,51.24,11.70,8.61
2015-01-05,AQ034,4.85,44.21,10.22,7.12
2015-01-05,AQ035,2.77,62.19,8.00,2.87
2015-01-05,AQ036,9.34,65.55,7.59,4.34
2015-01-05,AQ037,22.87,33.23,16.49,8.29
2015-01-05,AQ038,4.08,52.43,7.44,5.38
2015-01-05,AQ039,8.28,45.21,20.35,8.80
2015-01-05,AQ040,9.30,44.19,10.88,8.53
2015-01-05,AQ041,16.21,38.81,12.27,6.71
2015-01-05,AQ042,5.80,55.83,7.18,4.42
2015-01-05,AQ043,5.02,51.06,8.09,5.33
2015-01-05,AQ044,34.09,8.62,21.90,14.74
2015-01-05,AQ045,32.32,22.58,19.02,16.02
2015-01-05,AQ046,5.39,62.72,15.78,4.48
2015-01-05,AQ047,13.57,55.15,8.70,6.26
2015-01-05,AQ048,5.97,55.61,6.94,5.17
2015-01-05,AQ049,13.12,45.57,13.28,6.60
2015-01-05,AQ050,20.28,20.28,11.96,14.09
2015-01-06,AQ001,44.09,6.86,25.21,20.96
2015-01-06,AQ002,20.07,41.52,13.00,8.29
2015-01-06,AQ003,13.09,59.75,8.63,6.62
2015-01-06,AQ004,38.82,19.77,28.76,26.20
2015-01-06,AQ005,11.18,32.24,18.18,13.95
2015-01-06,AQ006,23.94,32.34,18.59,13.97
2015-01-06,AQ007,27.63,18.36,9.62,10.26
2015-01-06,AQ008,14.70,41.04,16.51,10.57
2015-01-06,AQ009,11.21,49.80,13.15,11.13
2015-01-06,AQ010,35.37,8.10,27.33,19.60
2015-01-06,AQ011,17.09,19.63,18.24,14.12
2015-01-06,AQ012,16.28,44.79,14.69,11.77
2015-01-06,AQ013,38.37,14.69,19.77,14.25
2015-01-06,AQ014,15.79,46.84,11.95,7.94
2015-01-06,AQ015,12.13,29.06,7.45,3.31
2015-01-06,AQ016,30.89,12.79,30.85,25.63
2015-01-06,AQ017,24.23,31.12,14.84,10.33
2015-01-06,AQ018,41.52,18.38,26.01,22.54
2015-01-06,AQ019,29.60,26.53,36.58,31.13
2015-01-06,AQ020,36.54,23.08,14.35,9.78
2015-01-06,AQ021,45.67,5.54,29.03,23.90
2015-01-06,AQ022,45.10,4.38,35.37,27.31
2015-01-06,AQ023,78.76,6.35,34.15,36.90
2015-01-06,AQ024,44.11,16.08,36.29,20.29
2015-01-06,AQ025,52.42,11.34,36.25,26.72
2015-01-06,AQ026,19.95,27.68,26.67,7.95
2015-01-06,AQ027,34.66,16.82,14.33,10.17
2015-01-06,AQ028,32.08,29.50,16.42,10.46
2015-01-06,AQ029,2.90,69.84,9.30,4.28
2015-01-06,AQ030,20.51,27.95,10.16,8.75
2015-01-06,AQ031,45.93,4.63,30.39,21.83
2015-01-06,AQ032,4.96,47.70,14.72,5.58
2015-01-06,AQ033,25.53,19.34,21.30,16.48
2015-01-06,AQ034,6.43,41.72,12.17,8.56
2015-01-06,AQ035,3.83,59.61,6.78,2.96
2015-01-06,AQ036,16.15,59.61,19.69,10.07
2015-01-06,AQ037,34.88,14.31,28.49,14.97
2015-01-06,AQ038,5.38,43.22,9.89,8.87
2015-01-06,AQ039,9.29,44.81,22.76,10.54
2015-01-06,AQ040,9.52,42.29,14.46,10.77
2015-01-06,AQ041,12.86,39.06,8.10,5.17
2015-01-06,AQ042,13.66,45.39,12.50,9.98
2015-01-06,AQ043,5.74,50.53,10.13,6.73
2015-01-06,AQ044,44.69,10.28,30.08,18.50
2015-01-06,AQ045,27.52,23.93,23.76,18.22
2015-01-06,AQ046,7.47,56.72,15.95,4.09
2015-01-06,AQ047,23.07,35.16,15.84,11.45
2015-01-06,AQ048,14.00,43.02,11.82,5.21
2015-01-06,AQ049,17.31,40.94,25.51,11.41
2015-01-06,AQ050,23.16,19.73,14.73,16.54
2015-01-07,AQ001,34.31,22.85,15.51,12.20
2015-01-07,AQ002,14.27,31.26,10.81,8.07
2015-01-07,AQ003,16.65,57.87,9.92,6.16
2015-01-07,AQ004,47.69,13.99,31.05,24.35
2015-01-07,AQ005,15.65,30.98,32.48,14.85
2015-01-07,AQ006,27.26,17.50,21.13,15.71
2015-01-07,AQ007,32.36,15.12,16.35,13.77
2015-01-07,AQ008,14.37,47.27,16.11,6.90
2015-01-07,AQ009,16.13,40.12,23.59,17.95
2015-01-07,AQ010,31.89,21.22,21.86,16.31
2015-01-07,AQ011,23.80,17.52,23.84,16.27
2015-01-07,AQ012,21.89,27.68,19.54,16.31
2015-01-07,AQ013,29.17,23.00,17.71,13.40
2015-01-07,AQ014,19.41,34.89,16.76,12.02
2015-01-07,AQ015,6.79,33.85,7.57,3.08
2015-01-07,AQ016,31.11,21.66,18.30,11.46
2015-01-07,AQ017,7.64,64.74,6.94,4.53
2015-01-07,AQ018,38.05,10.05,34.08,27.04
2015-01-07,AQ019,41.03,19.29,53.01,51.43
2015-01-07,AQ020,37.21,26.74,16.39,7.22
2015-01-07,AQ021,34.62,15.22,17.42,13.41
2015-01-07,AQ022,41.40,5.00,45.31,32.33
2015-01-07,AQ023,72.88,6.27,27.17,24.93
2015-01-07,AQ024,48.93,10.44,43.25,24.01
2015-01-07,AQ025,64.60,5.11,59.26,41.31
2015-01-07,AQ026,21.00,30.27,30.13,11.08
2015-01-07,AQ027,30.89,15.09,19.28,14.54
